# ========
# captured on: Mon Nov 10 22:44:46 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_8.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16705, 16706, 16707, 16708, 16709, 16710, 16711, 16712, 16713, 16714, 16715, 16716, 16717, 16718, 16719, 16720, 16721, 16722, 16723, 16724, 16725, 16726, 16727, 16728, 16729, 16730, 16731, 16732, 16733, 16734, 16735, 16736, 16737, 16738, 16739, 16740, 16741, 16742, 16743, 16744, 16745, 16746, 16747, 16748, 16749, 16750, 16751, 16752, 16753, 16754, 16755, 16756, 16757, 16758, 16759, 16760, 16761, 16762, 16763, 16764, 16765, 16766, 16767, 16768 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 9K of event 'page-faults'
# Event count (approx.): 159217
#
# Overhead,Command,Shared Object,Symbol
54.71,     dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
5.64,     dress,libc-2.12.so               ,[.] _wordcopy_fwd_aligned                                                                                                                                                                                                                                                                                                                                                                                                                                                          
4.95,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real3> >::operator()<real3>(real3 const&)                                                                                                                                                                                                                                                                                                                                                              
4.89,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<int> >::operator()<thrust::detail::tuple_of_iterator_references<int&, int&
4.56,     dress,dress                      ,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<float> >::operator()<float>(float const&)                                                                                                                                                                                                                                                                                                                                                              
3.61,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<long long&, long long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<long long> >::operator()<thrust::detail::tuple_of_iterator_ref
3.41,     dress,ld-2.12.so                 ,[.] _dl_relocate_object                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3.28,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*)                                                         
2.96,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*)                                                                                 
1.91,irqbalance,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1.90,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<unsigned int> >::operator()<unsigned int>(unsigned int const&)                                                                                                                                                                                                                                                                                                                                         
1.86,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> >::operator()<int>(int const&)                                                                                                                                                                                                                                                                                                                                                                    
1.37,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real4> >::operator()<real4>(real4 const&)                                                                                                                                                                                                                                                                                                                                                              
1.12,     dress,libGL.so.331.20            ,[.] 0x00000000000a925d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.52,     dress,ld-2.12.so                 ,[.] strcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.42,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int2> >::operator()<int2>(int2 const&)                                                                                                                                                                                                                                                                                                                                                                 
0.41,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*)                                             
0.35,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<long long> >::operator()<long long>(long long const&)                                                                                                                                                                                                                                                                                                                                                  
0.23,     dress,ld-2.12.so                 ,[.] check_match.12442                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.21,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<bool2> >::operator()<bool2>(bool2 const&)                                                                                                                                                                                                                                                                                                                                                              
0.18,      perf,perf                       ,[.] cmd_record                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.15,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<short2> >::operator()<short2>(short2 const&)                                                                                                                                                                                                                                                                                                                                                           
0.14,     dress,libc-2.12.so               ,[.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.09,     dress,libChronoEngine.so         ,[.] bool chrono::Vnotnull<double>(chrono::ChVector<double>*)                                                                                                                                                                                                                                                                                                                                                                                                                       
0.08,atieventsd,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.08,     dress,libnvidia-glcore.so.331.20 ,[.] 0x000000000164f270                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.06,     dress,libc-2.12.so               ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.05,     dress,ld-2.12.so                 ,[.] _dl_discover_osversion                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.04,     dress,libChronoEngine_Parallel.so,[.] _ZN9__gnu_cxx13new_allocatorIPN6chrono6ChBodyEE9constructIS3_JS3_EEEvPT_DpOT0_                                                                                                                                                                                                                                                                                                                                                                                                 
0.04,     dress,ld-2.12.so                 ,[.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.03,     dress,libm-2.12.so               ,[.] __dubsin                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.03,     dress,libChronoEngine_Parallel.so,[.] _GLOBAL__sub_I_ChContactContainerParallel.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.03,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChLinkPneumaticActuator.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.03,     dress,libChronoEngine_Utils.so   ,[.] chrono::utils::GetSystemType(chrono::ChSystem*)                                                                                                                                                                                                                                                                                                                                                                                                                                
0.03,     dress,libChronoEngine_OpenGL.so  ,[.] _GLOBAL__sub_I_ChOpenGLCamera.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::disable_if<thrust::detail::allocator_traits_detail::has_member_system<std::allocator<int> >::value, thrust::detail::allocator_system<std::allocator<int> >::type&>::type thrust::detail::allocator_traits_detail::system<std::allocator<int> >(std::allocator<int>&)                                                                                                                                                                                           
0.03,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChNodeXYZ.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.03,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::vector_base<real3, std::allocator<real3> >::vector_base()                                                                                                                                                                                                                                                                                                                                                                                                      
0.03,     dress,libstdc++.so.6.0.20        ,[.] __cxa_guard_acquire                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.03,     dress,libChronoEngine.so         ,[.] chrono::ChLcpConstraintTwoGeneric::GetClassRTTI()                                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libc-2.12.so               ,[.] __libc_calloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.03,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChCConvexDecomposition.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.03,     dress,ld-2.12.so                 ,[.] _dl_cache_libcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.02,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChCAABBTree.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.02,     dress,libChronoEngine.so         ,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libChronoEngine.so         ,[.] _GLOBAL__sub_I_ChFunction_Sigma.cpp                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,ld-2.12.so                 ,[.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,ld-2.12.so                 ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.02,     dress,libc-2.12.so               ,[.] __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.02,     dress,dress                      ,[.] chrono::ChFile_ps_color::ChFile_ps_color(double, double, double)                                                                                                                                                                                                                                                                                                                                                                                                               
0.02,     dress,ld-2.12.so                 ,[.] _dl_check_map_versions                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libstdc++.so.6.0.20        ,[.] _GLOBAL__sub_I_compatibility_thread_c__0x.cc                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.01,     dress,libstdc++.so.6.0.20        ,[.] std::__timepunct<char>::_M_initialize_timepunct(__locale_struct*)                                                                                                                                                                                                                                                                                                                                                                                                              
0.01,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::vector_base<long long, std::allocator<long long> >::resize(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                      
0.01,     dress,libChronoEngine.so         ,[.] call_gmon_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.01,     dress,libChronoEngine.so         ,[.] gettimeofday@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChContactContainer::ConstraintsFetch_react(double)                                                                                                                                                                                                                                                                                                                                                                                                                     
0.01,     dress,ld-2.12.so                 ,[.] _dl_map_object_from_fd                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libChronoEngine.so         ,[.] chrono::ChClassRegister<chrono::ChLinkWheel>::~ChClassRegister()                                                                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,libpthread-2.12.so         ,[.] pthread_create@@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.01,     dress,libm-2.12.so               ,[.] __exp1                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     dress,libc-2.12.so               ,[.] __clone                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.01,     dress,libChronoEngine_Parallel.so,[.] chrono::collision::MPRContact(chrono::collision::ConvexShape const&, chrono::collision::ConvexShape const&, real3&, real3&, float&)                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono9collision22ChCNarrowphaseDispatch23PreprocessLocalToParentEiPKiPK5real3S6_S6_PK5real4PKjPKbS6_S9_PS4_SE_SE_._omp_fn.12                                                                                                                                                                                                                                                                                                                                              
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid17host_shurB_normalERKfP4int2P5bool2P5real3P5real4PfS8_S8_S8_S8_SB_._omp_fn.22                                                                                                                                                                                                                                                                                                                                                               
0.01,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono21ChConstraintBilateral8host_RHSEP4int2PfPbP5real3S6_S6_S6_S6_S6_S3_._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                      
0.01,     dress,ld-2.12.so                 ,[.] brk                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.01,     dress,libgomp.so.1.0.0           ,[.] GOMP_loop_guided_start                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.01,     crond,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     gmond,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     dress,libChronoEngine_Parallel.so,[.] mult(real4 const&, real4 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.00,     dress,ld-2.12.so                 ,[.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.00,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono19ChSystemParallelDVI12UpdateBodiesEv._omp_fn.11                                                                                                                                                                                                                                                                                                                                                                                                                     
0.00,     dress,ld-2.12.so                 ,[.] strchr                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libChronoEngine.so         ,[.] chrono::ChVector<double>::operator-(chrono::ChVector<double> const&) const                                                                                                                                                                                                                                                                                                                                                                                                     
0.00,     dress,[kernel.kallsyms]          ,[k] 0xffffffff8128384f                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.00,     dress,libChronoEngine_Parallel.so,[.] _ZN6chrono22ChConstraintRigidRigid12host_OffsetsEP4int2Pi._omp_fn.26                                                                                                                                                                                                                                                                                                                                                                                                           
