# ========
# captured on: Mon Nov 10 22:27:47 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e branch-misses -o rs_32.branch -- ./dress 
# event : name = branch-misses, type = 0, config = 0x5, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16129, 16130, 16131, 16132, 16133, 16134, 16135, 16136, 16137, 16138, 16139, 16140, 16141, 16142, 16143, 16144, 16145, 16146, 16147, 16148, 16149, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159, 16160, 16161, 16162, 16163, 16164, 16165, 16166, 16167, 16168, 16169, 16170, 16171, 16172, 16173, 16174, 16175, 16176, 16177, 16178, 16179, 16180, 16181, 16182, 16183, 16184, 16185, 16186, 16187, 16188, 16189, 16190, 16191, 16192 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 832K of event 'branch-misses'
# Event count (approx.): 815145440
#
# Overhead,Command,Shared Object,Symbol
10.53,          dress,dress                      ,[.] thrust::detail::normal_iterator<float*> thrust::operator+<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>(thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long> const&, thrust::detail::normal_iterator<float*>::difference_type)                                            
3.17,          dress,dress                      ,[.] thrust::iterator_adaptor<thrust::detail::normal_iterator<float*>, float*, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default>::advance(long)                                                                                                                                                                                                                                                                         
2.96,          dress,dress                      ,[.] void thrust::iterator_core_access::advance<thrust::detail::normal_iterator<float*> >(thrust::detail::normal_iterator<float*>&, thrust::detail::normal_iterator<float*>::difference_type)                                                                                                                                                                                                                                                                                  
2.42,          dress,libChronoEngine_Parallel.so,[.] overlap(real3, real3, real3, real3)                                                                                                                                                                                                                                                                                                                                                                                                                                       
2.27,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::advance_iterator<long>::operator()<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>&) const                                                                                                                                                                       
2.15,          dress,libChronoEngine_Parallel.so,[.] function_Store_AABB_AABB_Intersection(unsigned int const&, real3 const*, unsigned int const&, unsigned int const*, unsigned int const*, unsigned int const*, unsigned int const*, short2 const*, long long*)                                                                                                                                                                                                                                                              
2.05,          dress,libChronoEngine_Parallel.so,[.] function_Count_AABB_AABB_Intersection(unsigned int const&, real3 const*, unsigned int const&, unsigned int const*, unsigned int const*, unsigned int const*, short2 const*, unsigned int*)                                                                                                                                                                                                                                                                                
1.91,          dress,dress                      ,[.] thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>::derived() const                                                                                                                                                                                                                                                                                             
1.67,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::operator*() const                                                               
1.48,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type> >::get_head()                                                                                               
1.23,          dress,libChronoEngine_Parallel.so,[.] GetSupportPoint_Cylinder(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                      
1.12,          dress,libc-2.12.so               ,[.] _mcount                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1.12,          dress,[kernel.kallsyms]          ,[k] 0xffffffff81510b05                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1.12,          dress,dress                      ,[.] thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>::operator+=(long)                                                                                                                                                                                                                                                                                            
1.11,          dress,libChronoEngine_Parallel.so,[.] portalReachTolerance(simplex const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                        
1.03,          dress,dress                      ,[.] thrust::detail::advance_iterator<long>::advance_iterator(long)                                                                                                                                                                                                                                                                                                                                                                                                            
1.02,          dress,dress                      ,[.] thrust::iterator_adaptor<thrust::detail::normal_iterator<float*>, float*, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default>::increment()                                                                                                                                                                                                                                                                           
0.99,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<int*>, int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, int&, long>::derived()                                                                                                                                                                                                                                                                                                         
0.98,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::syst
0.93,          dress,libm-2.12.so               ,[.] __ieee754_sqrt                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0.91,          dress,dress                      ,[.] thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>::operator[](long) const                                                                                                                                                                                                                                                                                      
0.88,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::advance<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>&, thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>::difference_type)                                                                         
0.88,          dress,libc-2.12.so               ,[.] __mcount_internal                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.85,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::advance_iterator<long> thrust::detail::tuple_impl_specific::tuple_for_each<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust:
0.81,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<1, thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> > >::type>::non_const_type thrust::get<1, long long&, thrust::detail::cons<long long&, thrust::null_type> >(thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> >&)                                                                                                                                  
0.74,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<long long&, long long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<long long> >::operator()<thrust::detail::tuple_of_iterato
0.69,          dress,dress                      ,[.] thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>::derived()                                                                                                                                                                                                                                                                                                   
0.69,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const& thrust::detail::get_class<1>::get<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const&, int&, thrust::detail::cons<thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_de
0.63,          dress,libChronoEngine_Parallel.so,[.] long long& thrust::detail::get_class<1>::get<long long&, long long&, thrust::detail::cons<long long&, thrust::null_type> >(thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> >&)                                                                                                                                                                                                                                                       
