# ========
# captured on: Mon Nov 10 22:29:07 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_32.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16193, 16194, 16195, 16196, 16197, 16198, 16199, 16200, 16201, 16202, 16203, 16204, 16205, 16206, 16207, 16208, 16209, 16210, 16211, 16212, 16213, 16214, 16215, 16216, 16217, 16218, 16219, 16220, 16221, 16222, 16223, 16224, 16225, 16226, 16227, 16228, 16229, 16230, 16231, 16232, 16233, 16234, 16235, 16236, 16237, 16238, 16239, 16240, 16241, 16242, 16243, 16244, 16245, 16246, 16247, 16248, 16249, 16250, 16251, 16252, 16253, 16254, 16255, 16256 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 13K of event 'page-faults'
# Event count (approx.): 200987
#
# Overhead,Command,Shared Object,Symbol
43.94,     dress,libc-2.12.so               ,[.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
14.39,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<long long&, long long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<long long> >::operator()<thrust::detail::tuple_of_iterator_re
8.05,     dress,libChronoEngine_Parallel.so,[.] thrust::detail::enable_if_non_const_reference_or_tuple_of_iterator_references<thrust::tuple_element<1, thrust::detail::tuple_of_iterator_references<int&, int&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::type>::type thrust::detail::host_unary_transform_functor<thrust::identity<int> >::operator()<thrust::detail::tuple_of_iterator_references<int&, int&
5.95,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long const*)                                                         
4.62,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real3> >::operator()<real3>(real3 const&)                                                                                                                                                                                                                                                                                                                                                              
4.02,     dress,libc-2.12.so               ,[.] _wordcopy_fwd_aligned                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3.91,     dress,dress                      ,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<float> >::operator()<float>(float const&)                                                                                                                                                                                                                                                                                                                                                              
2.97,     dress,libGL.so.331.20            ,[.] 0x00000000000a925d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2.71,     dress,ld-2.12.so                 ,[.] _dl_relocate_object                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1.41,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, int const*)                                                                                 
1.26,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int> >::operator()<int>(int const&)                                                                                                                                                                                                                                                                                                                                                                    
1.24,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<unsigned int> >::operator()<unsigned int>(unsigned int const&)                                                                                                                                                                                                                                                                                                                                         
1.13,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<real4> >::operator()<real4>(real4 const&)                                                                                                                                                                                                                                                                                                                                                              
0.90,irqbalance,[kernel.kallsyms]          ,[k] 0xffffffff8128212d                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.58,     dress,libChronoEngine_Parallel.so,[.] void thrust::system::cpp::detail::assign_value<thrust::system::cpp::detail::tag, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*>(thrust::system::cpp::detail::execution_policy<thrust::system::cpp::detail::tag>&, thrust::pointer<unsigned int, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, unsigned int const*)                                             
0.41,     dress,ld-2.12.so                 ,[.] strcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.33,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<int2> >::operator()<int2>(int2 const&)                                                                                                                                                                                                                                                                                                                                                                 
0.28,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<long long> >::operator()<long long>(long long const&)                                                                                                                                                                                                                                                                                                                                                  
0.20,      perf,perf                       ,[.] cmd_record                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
0.17,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<bool2> >::operator()<bool2>(bool2 const&)                                                                                                                                                                                                                                                                                                                                                              
0.14,     dress,libChronoEngine_Parallel.so,[.] void thrust::detail::host_generate_functor<thrust::detail::fill_functor<short2> >::operator()<short2>(short2 const&)                                                                                                                                                                                                                                                                                                                                                           
0.13,     dress,libc-2.12.so               ,[.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.11,     dress,ld-2.12.so                 ,[.] check_match.12442                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0.08,     dress,ld-2.12.so                 ,[.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.08,     dress,libc-2.12.so               ,[.] __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.07,     dress,libnvidia-glcore.so.331.20 ,[.] 0x00000000015b9b70                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.04,     dress,ld-2.12.so                 ,[.] _dl_discover_osversion                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.04,     dress,libc-2.12.so               ,[.] __strlen_sse42                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.04,atieventsd,[kernel.kallsyms]          ,[k] 0xffffffff81119354                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0.04,     dress,ld-2.12.so                 ,[.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN9__gnu_cxx13new_allocatorIPN6chrono6ChBodyEE9constructIS3_JS3_EEEvPT_DpOT0_                                                                                                                                                                                                                                                                                                                                                                                                 
0.03,     dress,libChronoEngine_Utils.so   ,[.] unsigned long std::allocator_traits<std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > >::_S_max_size<std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > const, void>(std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > const&, int)                                                                                                                                                                                                                                 
0.03,     dress,libChronoEngine_Parallel.so,[.] _ZN6thrust6detail10functional5actorINS1_8argumentILj1EEEEC1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libstdc++.so.6.0.20        ,[.] std::istream::sentry::sentry(std::istream&, bool)                                                                                                                                                                                                                                                                                                                                                                                                                              
0.03,     dress,libChronoEngine_Parallel.so,[.] __static_initialization_and_destruction_0(int, int)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.02,     dress,libChronoEngine_Parallel.so,[.] std::vector<double, std::allocator<double> >::insert(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)                                                                                                                                                                                                                                                                                                 
