N = 8192  Time = 4598.854 ms
N = 8256  Time = 3575.139 ms
N = 8320  Time = 3634.756 ms
N = 8384  Time = 3659.941 ms
N = 8448  Time = 3754.913 ms
N = 8512  Time = 3758.002 ms
N = 8576  Time = 3806.076 ms
N = 8640  Time = 3832.904 ms
N = 8704  Time = 3993.971 ms
N = 8768  Time = 3923.122 ms
N = 8832  Time = 3952.446 ms
N = 8896  Time = 4036.611 ms
N = 8960  Time = 4085.207 ms
N = 9024  Time = 3819.041 ms
N = 9088  Time = 3866.935 ms
N = 9152  Time = 3903.719 ms
N = 9216  Time = 4117.286 ms
N = 9280  Time = 3987.074 ms
N = 9344  Time = 4026.241 ms
N = 9408  Time = 4070.398 ms
N = 9472  Time = 4124.642 ms
N = 9536  Time = 4152.956 ms
N = 9600  Time = 4218.367 ms
N = 9664  Time = 4242.563 ms
N = 9728  Time = 4355.663 ms
N = 9792  Time = 4337.407 ms
N = 9856  Time = 4363.710 ms
N = 9920  Time = 4429.641 ms
N = 9984  Time = 4512.760 ms
N = 10048  Time = 4499.632 ms
N = 10112  Time = 4552.038 ms
N = 10176  Time = 4620.932 ms
N = 10240  Time = 4983.245 ms
N = 10304  Time = 4698.157 ms
N = 10368  Time = 4773.328 ms
N = 10432  Time = 4779.324 ms
N = 10496  Time = 4896.288 ms
N = 10560  Time = 4917.567 ms
N = 10624  Time = 4967.041 ms
N = 10688  Time = 5019.436 ms
N = 10752  Time = 5138.905 ms
N = 10816  Time = 5101.671 ms
N = 10880  Time = 5150.222 ms
N = 10944  Time = 5217.170 ms
N = 11008  Time = 5290.643 ms
N = 11072  Time = 5306.952 ms
N = 11136  Time = 5323.577 ms
N = 11200  Time = 5423.412 ms
N = 11264  Time = 5719.543 ms
N = 11328  Time = 5586.545 ms
N = 11392  Time = 5593.716 ms
N = 11456  Time = 5667.636 ms
N = 11520  Time = 5779.190 ms
N = 11584  Time = 5766.834 ms
N = 11648  Time = 5814.156 ms
N = 11712  Time = 5858.391 ms
N = 11776  Time = 6060.097 ms
N = 11840  Time = 5992.890 ms
N = 11904  Time = 6026.229 ms
N = 11968  Time = 6106.238 ms
N = 12032  Time = 6224.341 ms
N = 12096  Time = 6208.121 ms
N = 12160  Time = 6273.800 ms
N = 12224  Time = 6321.102 ms
N = 12288  Time = 7495.035 ms
N = 12352  Time = 6464.906 ms
